[array([ 61., 122.]), [np.float64(53.27337366445257), np.float64(11.170049837598134), 50]]
[array([ 61., 121.]), [np.float64(53.27338141537962), np.float64(11.170048559191931), 50]]
[[0, 0], [0, 0, 0]]
[array([68., 74.]), [np.float64(53.27374130556888), np.float64(11.169897926369021), 48]]
[array([69., 74.]), [np.float64(53.27374066943926), np.float64(11.169884987841787), 48]]
[array([73., 73.]), [np.float64(53.273745881186194), np.float64(11.169831943250633), 48]]
[array([74., 73.]), [np.float64(53.273745245112394), np.float64(11.169818999295025), 48]]
[array([75., 75.]), [np.float64(53.27372909417441), np.float64(11.169808614224824), 48]]
[array([76., 79.]), [np.float64(53.273697426973776), np.float64(11.169800788485988), 48]]
[array([77., 82.]), [np.float64(53.27367351553584), np.float64(11.169791682179415), 48]]
[array([77., 83.]), [np.float64(53.27366575785584), np.float64(11.16979296227334), 48]]
[array([77., 84.]), [np.float64(53.2736580002185), np.float64(11.169794242360222), 48]]
[array([76., 85.]), [np.float64(53.27365088267619), np.float64(11.169808468540063), 48]]
[array([74., 84.]), [np.float64(53.27365991926201), np.float64(11.169833077719986), 48]]
[array([74., 83.]), [np.float64(53.27366767594422), np.float64(11.169831797898361), 48]]
[array([73., 79.]), [np.float64(53.2736993410835), np.float64(11.169839621966664), 48]]
[array([71., 78.]), [np.float64(53.273708372833916), np.float64(11.169864226020893), 48]]
[array([68., 76.]), [np.float64(53.273725795298795), np.float64(11.169900485071349), 48]]
[array([68., 75.]), [np.float64(53.273733550412516), np.float64(11.169899205723702), 48]]
[array([68., 74.]), [np.float64(53.27374130556888), np.float64(11.169897926369021), 48]]
[[0, 0], [0, 0, 0]]
[array([71., 69.]), [np.float64(53.2737781782179), np.float64(11.169852709379558), 48]]
[array([72., 69.]), [np.float64(53.273777543522364), np.float64(11.169839767206797), 48]]
[array([72., 70.]), [np.float64(53.27376978687967), np.float64(11.169841046950149), 48]]
[array([72., 71.]), [np.float64(53.27376203027962), np.float64(11.16984232668646), 48]]
[array([71., 71.]), [np.float64(53.27376266561181), np.float64(11.169855268682443), 48]]
[array([71., 70.]), [np.float64(53.27377042189353), np.float64(11.16985398903452), 48]]
[array([71., 69.]), [np.float64(53.2737781782179), np.float64(11.169852709379558), 48]]
[[0, 0], [0, 0, 0]]
[array([60., 33.]), [np.float64(53.274068619597244), np.float64(11.171347558784445), 53]]
[array([61., 32.]), [np.float64(53.274075939069135), np.float64(11.171333637554664), 53]]
[array([62., 32.]), [np.float64(53.2740755107126), np.float64(11.171320704816498), 53]]
[array([62., 33.]), [np.float64(53.2740677621787), np.float64(11.171321694674601), 53]]
[array([61., 33.]), [np.float64(53.27406819090865), np.float64(11.171334627353367), 53]]
[array([60., 33.]), [np.float64(53.274068619597244), np.float64(11.171347558784445), 53]]
[[0, 0], [0, 0, 0]]
[array([38., 10.]), [np.float64(53.27427794718072), np.float64(11.172901997173446), 53]]
[array([39.,  9.]), [np.float64(53.27428536607159), np.float64(11.172888373450204), 53]]
[array([39., 10.]), [np.float64(53.27427760797795), np.float64(11.17288908865354), 53]]
[array([38., 10.]), [np.float64(53.27427794718072), np.float64(11.172901997173446), 53]]
[[0, 0], [0, 0, 0]]
[array([  0., 387.]), [np.float64(53.27140566092903), np.float64(11.174905974017287), 54]]
[array([  1., 387.]), [np.float64(53.27140529358977), np.float64(11.174893108536727), 54]]
[array([  2., 387.]), [np.float64(53.271404926225614), np.float64(11.174880242184003), 54]]
[array([  3., 387.]), [np.float64(53.271404558836544), np.float64(11.174867374959025), 54]]
[array([  3., 388.]), [np.float64(53.27139681875844), np.float64(11.17486799062335), 54]]
[array([  3., 389.]), [np.float64(53.27138907875567), np.float64(11.174868606281683), 54]]
[array([  3., 390.]), [np.float64(53.271381338828206), np.float64(11.174869221934024), 54]]
[array([  2., 390.]), [np.float64(53.27138170699895), np.float64(11.174882088908587), 54]]
[array([  1., 390.]), [np.float64(53.27138207514474), np.float64(11.174894955010926), 54]]
[array([  0., 388.]), [np.float64(53.27139792163258), np.float64(11.174906589431224), 54]]
[array([  0., 387.]), [np.float64(53.27140566092903), np.float64(11.174905974017287), 54]]
[[0, 0], [0, 0, 0]]
[array([ 21., 376.]), [np.float64(53.27148313903324), np.float64(11.174628826402547), 54]]
[array([ 22., 377.]), [np.float64(53.2714750281789), np.float64(11.174616558985871), 54]]
[array([ 21., 377.]), [np.float64(53.27147539343237), np.float64(11.174629443637189), 54]]
[array([ 21., 376.]), [np.float64(53.27148313903324), np.float64(11.174628826402547), 54]]
[[0, 0], [0, 0, 0]]
[array([ 60., 341.]), [np.float64(53.271740386294965), np.float64(11.174103951691702), 53]]
[array([ 61., 341.]), [np.float64(53.27174002949555), np.float64(11.174091029856509), 53]]
[array([ 62., 341.]), [np.float64(53.271739672671885), np.float64(11.174078107143352), 53]]
[array([ 63., 341.]), [np.float64(53.27173931582398), np.float64(11.174065183552136), 53]]
[array([ 63., 342.]), [np.float64(53.2717315565998), np.float64(11.174065804521513), 53]]
[array([ 62., 342.]), [np.float64(53.271731913709566), np.float64(11.17407872802861), 53]]
[array([ 61., 342.]), [np.float64(53.27173227079507), np.float64(11.174091650657664), 53]]
[array([ 60., 341.]), [np.float64(53.271740386294965), np.float64(11.174103951691702), 53]]
